PrimaryKey;Indikator;Satuan;Kategori;Pengertian;Interpretasi;Fenomena Terakhir;Sumber;SearchIndex;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;;;;;;;
PDRB ADHB;PDRB ADHB;miliar rupiah;PDRB;Nilai tambah bruto atas barang dan jasa yang diproduksi di suatu wilayah (provinsi/kabupaten/kota), di mana barang dan jasa dihitung menggunakan harga yang berlaku pada waktu itu.; ; ;Badan Pusat Statistik Wonogiri;PDRB ADHB PDRB;13.310,57;14.506,50;16.024,07;17.640,99;19.668,24;21.585,48;23.329,38;25.104,34;27.136,62;29.044,92;29.166,53;30.581,45;33.692,20;36.942,65;;;;;;;
PDRB ADHK 2010;PDRB ADHK;miliar rupiah;PDRB;Nilai tambah bruto barang dan jasa yang diproduksi di suatu wilayah (provinsi/kabupaten/kota), di mana barang dan jasa dihitung pada harga tahun dasar. Saat ini, penghitungan PDRB atas dasar harga konstan menggunakan harga tahun 2010 sebagai tahun dasar.; ; ;Badan Pusat Statistik Wonogiri;PDRB ADHK 2010 PDRB;13.310,57;13.786,71;14.605,09;15.303,28;16.107,80;16.977,20;17.869,15;18.818,94;19.837,02;20.856,21;20.563,14;21.251,17;22.448,63;23.566,88;;;;;;;
Laju Pertumbuhan ADHK 2010;LP PDRB;persen;PDRB;Suatu indikator ekonomi makro yang digunakan untuk melihat perubahan produktivitas berdasarkan pada perkembangan volume produksi barang ataupun jasa. Pengukurannya menggunakan data Produk Domestik Regional Bruto (PDRB) atas dasar harga konstan.;Pertumbuhan yang positif menunjukkan adanya kenaikan produksi barang dan jasa akhir, Sebaliknya, pertumbuhan negatif menunjukkan kontraksi/penurunan produksi. Pertumbuhan melambat diartikan jika pertumbuhan periode t lebih kecil dari pertumbuhan periode t-1; ;Badan Pusat Statistik Wonogiri;Laju Pertumbuhan ADHK 2010 PDRB;;3,58;5,94;4,78;5,26;5,40;5,25;5,32;5,41;5,14;-1,41;3,35;5,63;4,98;;;;;;;
Indeks Implisit;Indeks Implisit;-;PDRB;Perbandingan antara PDRB atas dasar harga berlaku dengan PDRB atas dasar harga konstan pada periode tertentu.;Nilai indeks implisit lebih dari 100 menunjukkan bahwa telah terjadi kenaikan harga dibandingkan dengan periode tahun dasar.; ;Badan Pusat Statistik Wonogiri;Indeks Implisit PDRB;100,00;105,22;109,72;115,28;122,10;127,14;130,56;133,40;136,80;139,26;141,84;143,90;150,09;156,76;;;;;;;
Laju Indeks Implisit;Laju Implisit;persen;PDRB; ; ; ;Badan Pusat Statistik Wonogiri;Laju Indeks Implisit PDRB;;5,22;4,27;5,07;5,92;4,13;2,68;2,18;2,55;1,80;1,85;1,46;4,30;4,44;;;;;;;
Rata-rata Lama Sekolah (RLS);RLS;tahun;IPM;Rata-rata Lama Sekolah (RLS)/ Mean Years School (MYS) didefinisikan sebagai jumlah tahun yang digunakan oleh penduduk dalam menjalani pendidikan formal.;RLS dapat digunakan untuk mengetahui tingkat pedididikan masyarakat dalam suatu wilayah. RLS Indonesia pada tahun 2016 sebesar 7,95 tahun. Artinya, secara rata-rata penduduk Indonesia yang berusia 25 tahun ke atas telah menempuh pendidikan selama 7,95 tahun atau hampir menamatkan kelas VIII.; ;"1. 2010 - 2017: Publikasi Indikator Utama Sosial, Politik dan Keamanan Kabupaten Wonogiri Tahun 2014, 2017, 2018
2. 2018 - 2022: Publikasi Analisis Pembangunan Manusia Berbasis Gender Kabupaten Wonogiri 2018 - 2022
3. 2023: Publikasi Analisis Pembangunan Manusia Berbasis Gender Provinsi Jawa Tengah 2023";Rata-rata Lama Sekolah (RLS) IPM;5,58;5,66;6,03;6,12;6,23;6,39;6,57;6,68;6,88;7,04;7,33;7,34;7,42;7,67;;;;;;;
Rata-rata Lama Sekolah (RLS) Laki-laki;RLS Laki-laki;tahun;IPM;Rata-rata Lama Sekolah laki-laki (RLS L) didefinisikan sebagai jumlah tahun yang digunakan oleh penduduk laki-laki dalam menjalani pendidikan formal;RLS laki-laki Indonesia pada tahun 2014 sebesar 8,24 tahun. Artinya, secara rata-rata penduduk laki-laki Indonesia yang berusia 25 tahun ke atas telah menempuh pendidikan selama 8,24 tahun atau hampir menamatkan kelas IX.; ;"1. 2010 - 2017: Publikasi Indikator Utama Sosial, Politik dan Keamanan Kabupaten Wonogiri Tahun 2014, 2017, 2018
2. 2018: Publikasi Indikator Utama Sosial, Politik dan Keamanan Provinsi Jawa Tengah Tahun 2018
3. 2019 - 2022: Publikasi Analisis Pembangunan Manusia Berbasis Gender Kabupaten Wonogiri 2018 - 2022
4. 2023: Publikasi Analisis Pembangunan Manusia Berbasis Gender Provinsi Jawa Tengah 2023";Rata-rata Lama Sekolah (RLS) Laki-laki IPM;6,47;6,50;6,83;7,03;7,36;7,37;;7,39;7,52;7,61;7,92;7,93;7,94;8,12;;;;;;;
Rata-rata Lama Sekolah (RLS) Perempuan;RLS Perempuan;tahun;IPM;Rata-rata Lama Sekolah perempuan (RLS P) didefinisikan sebagai jumlah tahun yang digunakan oleh penduduk perempuan dalam menjalani pendidikan formal;RLS perempuan Indonesia pada tahun 2014 sebesar 7,23 tahun. Artinya, secara rata-rata penduduk perempuan Indonesia yang berusia 25 tahun ke atas telah menempuh pendidikan selama 7,23 tahun atau hampir menamatkan kelas VIII.; ;"1. 2010 - 2017: Publikasi Indikator Utama Sosial, Politik dan Keamanan Kabupaten Wonogiri Tahun 2014, 2017, 2018
2. 2018: Publikasi Indikator Utama Sosial, Politik dan Keamanan Provinsi Jawa Tengah Tahun 2018
3. 2019 - 2022: Publikasi Analisis Pembangunan Manusia Berbasis Gender Kabupaten Wonogiri 2018 - 2022
4. 2023: Publikasi Analisis Pembangunan Manusia Berbasis Gender Provinsi Jawa Tengah 2023";Rata-rata Lama Sekolah (RLS) Perempuan IPM;4,78;4,91;5,31;5,54;5,77;5,78;;6,13;6,49;6,71;6,80;6,81;7,05;7,32;;;;;;;
Harapan Lama Sekolah (HLS);HLS;tahun;IPM;Angka Harapan Lama Sekolah (HLS) didefinisikan sebagai lamanya sekolah (dalam tahun) yang diharapkan akan dirasakan oleh anak pada umur tertentu di masa mendatang.;Angka HLS menunjukkan peluang anak usia 7 tahun ke atas untuk mengenyam pendidikan formal pada waktu tertentu. HLS Indonesia pada tahun 2016 sebesar 12,72 tahun. Artinya, secara rata-rata anak usia 7 tahun yang masuk jenjang pendidikan formal pada tahun 2016 memiliki peluang untuk bersekolah selama 12,72 tahun atau setara dengan Diploma I.; ;"1. 2010 - 2017: Publikasi Indikator Utama Sosial, Politik dan Keamanan Kabupaten Wonogiri Tahun 2014, 2017, 2018
2. 2018 - 2022: Publikasi Analisis Pembangunan Manusia Berbasis Gender Kabupaten Wonogiri 2018 - 2022
3. 2023: Publikasi Analisis Pembangunan Manusia Berbasis Gender Provinsi Jawa Tengah 2023";Harapan Lama Sekolah (HLS) IPM;11,15;11,31;11,47;11,77;11,94;12,42;12,43;12,44;12,45;12,48;12,49;12,50;12,51;12,52;;;;;;;
Harapan Lama Sekolah (HLS) Laki-laki;HLS Laki-laki;tahun;IPM;Angka Harapan Lama Sekolah laki-laki (HLS L) didefinisikan sebagai lamanya sekolah (dalam tahun) yang diharapkan akan dirasakan oleh anak laki-laki pada umur tertentu di masa mendatang;HLS laki-laki Indonesia pada tahun 2014 sebesar 12,37 tahun. Artinya, secara rata-rata anak laki-laki usia 7 tahun yang masuk jenjang pendidikan formal pada tahun 2014 memiliki peluang untuk bersekolah selama 12,37 tahun atau setara dengan Diploma I.; ;"1. 2010 - 2017: Publikasi Indikator Utama Sosial, Politik dan Keamanan Kabupaten Wonogiri Tahun 2014, 2017, 2018
2. 2018: Publikasi Indikator Utama Sosial, Politik dan Keamanan Provinsi Jawa Tengah Tahun 2018
3. 2019 - 2022: Publikasi Analisis Pembangunan Manusia Berbasis Gender Kabupaten Wonogiri 2018 - 2022
4. 2023: Publikasi Analisis Pembangunan Manusia Berbasis Gender Provinsi Jawa Tengah 2023";Harapan Lama Sekolah (HLS) Laki-laki IPM;11,42;11,58;11,73;11,96;12,19;12,43;;12,45;12,46;12,49;12,50;12,51;12,52;12,54;;;;;;;
